Timestamp,EncoderCount
1724305709.068144556,219
1724305709.072943515,219
1724305709.076421697,219
1724305709.080005311,219
1724305709.084759376,219
1724305709.088312122,219
1724305709.092980545,219
1724305709.096637967,219
1724305709.100497190,219
1724305709.104699165,219
1724305709.108820418,219
1724305709.112984680,219
1724305709.117047966,219
1724305709.121115185,219
1724305709.125228625,219
1724305709.129247159,219
1724305709.133370082,219
1724305709.137510248,219
1724305709.141568672,219
1724305709.145775823,219
1724305709.149725090,219
1724305709.153839626,219
1724305709.157946631,219
1724305709.162130070,219
1724305709.165993921,219
1724305709.170294551,219
1724305709.174324428,219
1724305709.178499112,219
1724305709.182542901,219
1724305709.186643462,219
1724305709.190649906,219
1724305709.194710220,219
1724305709.198951343,219
1724305709.202926450,219
1724305709.207214613,219
1724305709.211058228,219
1724305709.215167416,219
1724305709.219303760,219
1724305709.223224069,219
1724305709.227287072,219
1724305709.231421296,219
1724305709.235533287,219
1724305709.239615953,219
1724305709.243946815,219
1724305709.248000625,219
1724305709.252144522,219
1724305709.256303844,219
1724305709.260292675,219
1724305709.264311573,219
1724305709.268386429,219
1724305709.272580242,219
1724305709.276682126,219
1724305709.280751162,219
1724305709.284883454,219
1724305709.288821116,219
1724305709.292940915,219
1724305709.297050330,219
1724305709.301187512,219
1724305709.305211670,219
1724305709.309264147,219
1724305709.313234365,219
1724305709.317552369,219
1724305709.321719305,219
1724305709.325661536,219
1724305709.329752358,219
1724305709.333842678,219
1724305709.337920406,219
1724305709.342138396,219
1724305709.346037327,219
1724305709.350231647,219
1724305709.354273867,219
1724305709.358376007,219
1724305709.362464680,219
1724305709.366572311,219
1724305709.370788034,219
1724305709.374805851,219
1724305709.378805918,219
1724305709.382926893,219
1724305709.387094448,219
1724305709.391125739,219
1724305709.395296808,219
1724305709.399217615,219
1724305709.403416246,219
1724305709.407531256,219
1724305709.411821216,219
1724305709.415770408,219
1724305709.419780779,219
1724305709.423923939,219
1724305709.427974668,219
1724305709.432084213,219
1724305709.436138323,219
1724305709.440290788,219
1724305709.444313630,219
1724305709.448417271,219
